what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1343653658563
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1343653658563
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1343653658563
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1343653658607
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1343653658607
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1343653658667
os,sysinfo,,,"win32",1343653658670
arch,sysinfo,,,"x86",1343653658670
ws,sysinfo,,,"win32",1343653658670
locale,sysinfo,,,"en_US",1343653658670
processors,sysinfo,,,"4",1343653658670
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343653658670
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1343653658670
java.specification.name,sysinfo,,,"Java Platform API Specification",1343653658670
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343653658670
java.specification.version,sysinfo,,,"1.7",1343653658670
java.vendor,sysinfo,,,"Oracle Corporation",1343653658670
java.version,sysinfo,,,"1.7.0_05",1343653658670
java.vm.info,sysinfo,,,"mixed mode",1343653658670
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1343653658670
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343653658670
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343653658670
java.vm.specification.version,sysinfo,,,"1.7",1343653658670
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343653658670
java.vm.version,sysinfo,,,"23.1-b03",1343653658670
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1343653659367
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1343653659555
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1343653663026
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1343653663047
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1343653663150
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1343653663402
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1343653663835
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343653664174
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1343653664254
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1343653667163
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1343653667285
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1343653667293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343653679341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343653682652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1343653682661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343653683483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343653685312
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343653690466
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1343653691208
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1343653691279
